Ticker,Price,Company Name,Volume,Open,Previous Close,Date Time
LOW,261.00,"Lowe's Companies, Inc. (LOW)","2,147,565 ",260.89 ,256.63 ,"09/19/2024, 21:23"
WMT,79.03,Walmart Inc. (WMT),"13,014,747 ",78.64 ,78.60 ,"09/19/2024, 21:23"
COST,900.74,Costco Wholesale Corporation (COST),"1,673,490 ",904.40 ,892.52 ,"09/19/2024, 21:23"
CVS,58.42,CVS Health Corporation (CVS),"2,102,694 ",58.70 ,58.42 ,"09/19/2024, 21:23"
T,21.36,AT&T Inc. (T),"36,230,690 ",21.65 ,21.73 ,"09/19/2024, 21:23"
VZ,43.94,Verizon Communications Inc. (VZ),"17,852,731 ",43.96 ,43.88 ,"09/19/2024, 21:23"
TGT,156.80,Target Corporation (TGT),"2,434,922 ",156.58 ,153.60 ,"09/19/2024, 21:24"
DE,401.07,Deere & Company (DE),"1,162,983 ",398.00 ,397.88 ,"09/19/2024, 21:24"
CAT,373.31,Caterpillar Inc. (CAT),"3,530,608 ",363.00 ,355.12 ,"09/19/2024, 21:24"
MMM,134.15,3M Company (MMM),"1,637,439 ",134.40 ,133.36 ,"09/19/2024, 21:24"
LMT,565.30,Lockheed Martin Corporation (LMT),"592,872 ",566.47 ,565.49 ,"09/19/2024, 21:24"
UPS,132.43,"United Parcel Service, Inc. (UPS)","2,929,745 ",132.75 ,130.65 ,"09/19/2024, 21:24"
NEE,82.18,"NextEra Energy, Inc. (NEE)","2,968,459 ",83.63 ,84.28 ,"09/19/2024, 21:24"
DUK,115.11,Duke Energy Corporation (DUK),"2,996,482 ",115.09 ,115.88 ,"09/19/2024, 21:24"
SO,88.88,The Southern Company (SO),"6,331,767 ",88.65 ,89.01 ,"09/19/2024, 21:24"
